question_id,N,sign_entropy_gt,sign_entropy_ge,zero_mass,active_coordinates,cv_sigma,zero_variance_coordinates,top32_share,first32_share,first32_top32_intersection,corr_off_mass,corr_median_abs,corr_p95_abs,residual_mean_max_abs
2b8f3739,491,0.9976574562308945,0.9976574562308945,0.0,96,0.4890969758210188,0,0.7556931307180501,0.7556931307180501,32,0.15144417966023865,0.004638452638139317,0.016715831120811493,3.7975958652911413e-16
2bf43736,478,0.9977227276252482,0.9977227276252482,0.0,96,0.49862638531735365,0,0.7592144256071985,0.7592144256071985,32,0.1503597072716338,0.004459624934667136,0.016250405608344252,1.762885513996849e-16
2c63a862,529,0.9978217321198063,0.9978217321198063,0.0,96,0.4885213870500395,0,0.7509455247587085,0.7509455247587085,32,0.1588227139718342,0.0058386631415651355,0.02042539015786771,3.476530132876317e-16
2ce6a0f2,480,0.9970145131307512,0.9970145131307512,0.0,96,0.4880978765522371,0,0.7550601351920361,0.7550601351920361,32,0.1492083947889872,0.003959485704303558,0.01567580673482279,1.7202674470103338e-16
2e6d26dc,494,0.9974306342193611,0.9974306342193611,0.0,96,0.48874913677694504,0,0.7551367375333886,0.7551367375333887,32,0.16296495038140454,0.00605922876991905,0.02152772274685518,2.8367996211196436e-16
2ebe6c90,485,0.9971048348981867,0.9971048348981867,0.0,96,0.5052360743882645,0,0.7635143594387591,0.7635143594387591,32,0.15259085840986175,0.004342797489520385,0.015706179012203426,2.4218885774297227e-16
2ebe6c92,487,0.9976119802865715,0.9976119802865715,0.0,96,0.49162067389985314,0,0.7537417409685727,0.7537417409685727,32,0.15482057800308255,0.0050976719272140016,0.01835331106184733,1.5667367015885807e-16
311778f1,500,0.9965244769414286,0.9965244769414286,0.0,96,0.4949823949889683,0,0.7542233370877336,0.7542233370877336,32,0.15338269651678976,0.0041548981064139495,0.015986959590891768,4.6018744370712736e-17
32260d93,524,0.9934184239488669,0.9934184239488669,0.0,96,0.5135921420286227,0,0.7679053668023947,0.7679053668023946,32,0.16084543242840568,0.005446874285471544,0.02027467362969107,3.294120701404508e-16
3249768e,475,0.9977774494446114,0.9977774494446114,0.0,96,0.49731414706895744,0,0.7615662454700214,0.7615662454700213,32,0.1525323146098572,0.004205792284805634,0.016217126128116193,9.185634709003926e-17
352ab8bd,539,0.9975323878571754,0.9975323878571754,0.0,96,0.5089999323278449,0,0.7662145098372635,0.7662145098372635,32,0.1595553537157748,0.005475035178783042,0.019434117289801704,2.329614547033492e-16
35a27287,519,0.9979059083065552,0.9979059083065552,0.0,96,0.505318390832799,0,0.7619858365645703,0.7619858365645703,32,0.15988219362146508,0.0052958112579368725,0.02050666680986387,1.312373459744766e-16
36580ce8,545,0.9967049141026715,0.9967049141026715,0.0,96,0.5145965763316525,0,0.765830627056663,0.7658306270566629,32,0.15446030281729306,0.004990571806109538,0.017722007415134057,8.810485470649178e-17
36b9f61e,490,0.9971109699529986,0.9971109699529986,0.0,96,0.49522229443253574,0,0.7596003028756835,0.7596003028756835,32,0.1624237350131812,0.0054802455439769224,0.020128011532160966,1.367953369627425e-16
370a8ff4,498,0.9957274245270739,0.9957274245270739,0.0,96,0.504363272811344,0,0.7637726817530236,0.7637726817530236,32,0.15580971277798825,0.004868472636871375,0.01869089826847652,1.009901666978305e-16
37d43f65,533,0.995764160835377,0.995764160835377,0.0,96,0.511492437755439,0,0.7691160903428775,0.7691160903428773,32,0.1475835868340976,0.004229133815596429,0.014224235898791529,5.873975477378877e-17
37f165cf,567,0.995284920486497,0.995284920486497,0.0,96,0.5368536229995616,0,0.7784174894483936,0.7784174894483936,32,0.15170656119675044,0.0045504508582509305,0.015870005276335697,2.7349277066052687e-16
38146c39,538,0.9954214490067583,0.9954214490067583,0.0,96,0.5194075208448586,0,0.7709489727245765,0.7709489727245765,32,0.14834010516598625,0.0042728718764954605,0.015217277879623788,2.7977413859396953e-16
3a704032,479,0.9967412766039713,0.9967412766039713,0.0,96,0.49888350729808234,0,0.761170197222364,0.761170197222364,32,0.14973470081826254,0.003917974272429433,0.015218446698920514,1.7169054394385903e-16
3b6f954b,470,0.9978564706338644,0.9978564706338644,0.0,96,0.4926044406039591,0,0.7541204556727268,0.7541204556727269,32,0.15427391456689094,0.005097440292726865,0.018188354447255882,1.5153363197809318e-16
3ba21379,431,0.9977037946286981,0.9977037946286981,0.0,96,0.4905388399603739,0,0.7561885688578243,0.7561885688578243,32,0.1511116440763533,0.004342199971231673,0.01604559684364384,8.732380634522692e-17
3c1045c8,542,0.9972249465350732,0.9972249465350732,0.0,96,0.5086566694230109,0,0.7667740024163978,0.7667740024163978,32,0.15375747189254904,0.005105524725651643,0.018289622685258286,1.6371692849292553e-16
3d86fd0a,526,0.9975460072271914,0.9975460072271914,0.0,96,0.5060726986902572,0,0.7649583026555005,0.7649583026555005,32,0.14860759190579817,0.004441335538050116,0.015192951348047193,1.5882943460654568e-16
3e321797,490,0.9977410122884088,0.9977410122884088,0.0,96,0.49486606548090517,0,0.7579120430878852,0.7579120430878852,32,0.14997375704917273,0.004223324895181497,0.01549307188460715,3.421865965183965e-16
3f1e9474,515,0.9981493486470626,0.9981493486470626,0.0,96,0.5040739898627847,0,0.7664997325023768,0.7664997325023767,32,0.15075045519460212,0.004367887556937021,0.01618365833492834,3.0116146900996963e-16
3fdac837,453,0.9971529857547615,0.9971529857547615,0.0,96,0.4915822464401716,0,0.7563400858982638,0.7563400858982638,32,0.14946869075875888,0.004597858443320927,0.01569119043003457,2.421413572471644e-16
3fe836c9,449,0.9979650525896547,0.9979650525896547,0.0,96,0.48687417062507693,0,0.7556700361114091,0.755670036111409,32,0.15316626173826825,0.004753073075489212,0.016664153173665715,9.940081423147281e-17
4100d0a0,523,0.9940967504497619,0.9940967504497619,0.0,96,0.5101144944990651,0,0.765742395278396,0.7657423952783962,32,0.1480099002981862,0.0039000499598260538,0.0140318061980707,9.610965093671885e-17
41275add,531,0.9979749015190621,0.9979749015190621,0.0,96,0.5000608716431869,0,0.7628287079525791,0.7628287079525791,32,0.15227720721676102,0.004569836733733245,0.01647966825203838,9.779789449499378e-17
41698283,476,0.9975531778114952,0.9975531778114952,0.0,96,0.4958414804499114,0,0.7621907682607532,0.7621907682607532,32,0.15090812322262254,0.004317316861935332,0.015487668276133178,1.89565916652121e-16
42ec0761,521,0.9978129565060231,0.9978129565060231,0.0,96,0.5039834215025555,0,0.7639088224307207,0.7639088224307206,32,0.1484342337072373,0.004436225827285346,0.014648152459368463,3.5240524510054754e-17
4388e9dd,477,0.9926766392724954,0.9926766392724954,0.0,96,0.5034672070818144,0,0.764927695991289,0.7649276959912888,32,0.16498456357940716,0.005412655727022918,0.02113940968275176,1.2673300564117354e-16
45dc21b6,485,0.9960768089002069,0.9960768089002069,0.0,96,0.5040828520714381,0,0.7621821955686376,0.7621821955686375,32,0.14754788311746617,0.004224350787073356,0.01492571063481175,9.454064106601848e-17
46a3abf7,503,0.9971093666692884,0.9971093666692884,0.0,96,0.498398283360363,0,0.760330255654029,0.760330255654029,32,0.15269824306996543,0.004586058632852413,0.01663638647039531,1.8794332116666416e-16
488d3006,509,0.9972091766618832,0.9972091766618832,0.0,96,0.4991081853139989,0,0.7621718158470544,0.7621718158470544,32,0.1550993934990655,0.004844224258226596,0.017927214174123,1.866548827746518e-16
4adc0475,490,0.9980241627577892,0.9980241627577892,0.0,96,0.5005502359139429,0,0.7629070433310744,0.7629070433310744,32,0.15250388207917154,0.004453491920015934,0.016988459172999577,2.359790367647144e-16
4b24c848,514,0.9969558343053517,0.9969558343053517,0.0,96,0.49962594111115244,0,0.7630468317731187,0.7630468317731187,32,0.1477815769538009,0.004073274627343257,0.014633390365361204,4.15793642490939e-17
4baee567,514,0.9962138117271585,0.9962138117271585,0.0,96,0.5037019607539982,0,0.7626936886854251,0.7626936886854251,32,0.15148891479898308,0.004767546468967177,0.016334919096410428,1.087543371398378e-16
4bc144e2,530,0.9975676189765679,0.9975676189765679,0.0,96,0.5073975055099162,0,0.7676254808223882,0.7676254808223882,32,0.14946081895112773,0.00421380971889191,0.015793233459508154,1.5040379843035139e-16
4c36ccef,521,0.995239309823865,0.995239309823865,0.0,96,0.5196325342879523,0,0.7686585958264439,0.7686585958264438,32,0.1627090564418721,0.00568869158404693,0.02067856381715526,1.9359647176045197e-16
