conv_id,method,seed,N_archive,unique_code_fraction,duplicate_code_fraction,largest_collision_bucket,bit_occupancy_mean,bit_occupancy_min,bit_occupancy_max,dead_bits
locomo_6,ITQ96_CENTERED,505.0,689,0.9985486211901307,0.0014513788098693414,2,0.49877539912917274,0.4716981132075472,0.5268505079825835,0
locomo_7,NATIVE_SIGN96,,681,0.9985315712187959,0.001468428781204123,2,0.4904552129221733,0.24963289280469897,0.5609397944199707,0
locomo_7,HAAR96_SIGN,43001.0,681,0.9985315712187959,0.001468428781204123,2,0.49848568281938316,0.4669603524229075,0.5359765051395007,0
locomo_7,HAAR96_SIGN,43002.0,681,0.9985315712187959,0.001468428781204123,2,0.49938815467449826,0.4669603524229075,0.5359765051395007,0
locomo_7,HAAR96_SIGN,43003.0,681,0.9985315712187959,0.001468428781204123,2,0.4987457170827215,0.46255506607929514,0.540381791483113,0
locomo_7,HAAR96_SIGN,43004.0,681,0.9970631424375918,0.002936857562408246,2,0.49811857562408224,0.4522760646108664,0.5359765051395007,0
locomo_7,HAAR96_SIGN,43005.0,681,0.9985315712187959,0.001468428781204123,2,0.499296377875673,0.44933920704845814,0.5374449339207048,0
locomo_7,ITQ96_CENTERED,101.0,681,0.9955947136563876,0.004405286343612369,2,0.49879160548213414,0.4654919236417034,0.527165932452276,0
locomo_7,ITQ96_CENTERED,202.0,681,0.9926578560939795,0.007342143906020504,2,0.4991128242780225,0.46255506607929514,0.5212922173274597,0
locomo_7,ITQ96_CENTERED,303.0,681,0.9970631424375918,0.002936857562408246,2,0.49993881546744984,0.4713656387665198,0.5345080763582967,0
locomo_7,ITQ96_CENTERED,404.0,681,0.9970631424375918,0.002936857562408246,2,0.49987763093489973,0.46255506607929514,0.5330396475770925,0
locomo_7,ITQ96_CENTERED,505.0,681,0.9941262848751835,0.005873715124816492,2,0.49859275575134604,0.4713656387665198,0.5256975036710719,0
locomo_8,NATIVE_SIGN96,,509,1.0,0.0,1,0.49453585461689586,0.37524557956778,0.5442043222003929,0
locomo_8,HAAR96_SIGN,43001.0,509,1.0,0.0,1,0.5031106745252129,0.4577603143418468,0.5422396856581533,0
locomo_8,HAAR96_SIGN,43002.0,509,1.0,0.0,1,0.5012892927308448,0.4518664047151277,0.5324165029469549,0
