question_id,geometry,method,itq_seed,gold_mean,gold_median,non_gold_mean,non_gold_median,nearest_gold,nearest_non_gold,separation_non_gold_minus_gold_mean,gold_minus_non_gold_mean
078150f1,HAMMING,ITQ96_CENTERED,303.0,24.333333333333332,24.0,48.17153284671533,49.0,20.0,27.0,23.838199513381998,
078150f1,HAMMING,ITQ96_CENTERED,404.0,27.333333333333332,27.0,47.91423357664234,49.0,26.0,23.0,20.580900243309006,
078150f1,HAMMING,ITQ96_CENTERED,505.0,25.0,23.0,48.3521897810219,50.0,22.0,22.0,23.3521897810219,
078150f1,COSINE,FLOAT96_UNCENTERED,,0.652844308250453,0.6175469244086376,0.11617172438995896,0.06258866445043228,0.7479109717372164,0.6868465632915498,-0.5366725838604941,0.5366725838604941
078150f1,COSINE,FLOAT96_CENTERED,,0.583267590639136,0.5515867948202818,-0.001692141158590099,-0.055956251820114815,0.7013673741294567,0.6312698695062721,-0.5849597317977261,0.5849597317977261
07b6f563,HAMMING,SIGN96_CENTERED,,32.5,32.5,47.848659003831415,48.0,31.0,28.0,15.348659003831415,
07b6f563,HAMMING,ITQ96_CENTERED,101.0,43.0,43.0,48.24329501915709,49.0,42.0,20.0,5.243295019157088,
07b6f563,HAMMING,ITQ96_CENTERED,202.0,37.5,37.5,48.08620689655172,49.0,37.0,21.0,10.586206896551722,
07b6f563,HAMMING,ITQ96_CENTERED,303.0,34.0,34.0,48.2911877394636,49.0,33.0,18.0,14.291187739463602,
07b6f563,HAMMING,ITQ96_CENTERED,404.0,39.0,39.0,48.07088122605364,49.0,39.0,16.0,9.070881226053643,
07b6f563,HAMMING,ITQ96_CENTERED,505.0,39.0,39.0,48.12643678160919,48.0,39.0,18.0,9.126436781609193,
07b6f563,COSINE,FLOAT96_UNCENTERED,,0.3462027571098657,0.3462027571098657,0.10295831837452372,0.08132544079677423,0.3477948149776413,0.6965907890645616,-0.24324443873534196,0.24324443873534196
07b6f563,COSINE,FLOAT96_CENTERED,,0.2901376658899082,0.2901376658899082,-0.0012306917688122666,-0.03353298183228255,0.2928838394299968,0.6745084703816596,-0.29136835765872043,0.29136835765872043
0862e8bf,HAMMING,SIGN96_CENTERED,,30.0,30.0,48.2760736196319,49.0,30.0,22.0,18.2760736196319,
0862e8bf,HAMMING,ITQ96_CENTERED,101.0,16.0,16.0,47.84662576687116,49.0,16.0,12.0,31.846625766871163,
0862e8bf,HAMMING,ITQ96_CENTERED,202.0,9.0,9.0,48.04907975460123,49.0,9.0,9.0,39.04907975460123,
0862e8bf,HAMMING,ITQ96_CENTERED,303.0,12.0,12.0,47.83231083844581,49.0,12.0,12.0,35.83231083844581,
0862e8bf,HAMMING,ITQ96_CENTERED,404.0,12.0,12.0,47.75255623721881,48.0,12.0,10.0,35.75255623721881,
0862e8bf,HAMMING,ITQ96_CENTERED,505.0,11.0,11.0,48.22290388548057,49.0,11.0,10.0,37.22290388548057,
0862e8bf,COSINE,FLOAT96_UNCENTERED,,0.8288905617549588,0.8288905617549588,0.07166650120675255,0.050179660104582344,0.8288905617549588,0.8622380044402704,-0.7572240605482062,0.7572240605482062
0862e8bf,COSINE,FLOAT96_CENTERED,,0.8122368687036786,0.8122368687036786,-0.0009007426014257798,-0.013406505618707286,0.8122368687036786,0.8495323097446147,-0.8131376113051044,0.8131376113051044
08e075c7,HAMMING,SIGN96_CENTERED,,26.0,26.0,48.280082987551864,49.0,25.0,26.0,22.280082987551864,
08e075c7,HAMMING,ITQ96_CENTERED,101.0,26.0,26.0,48.3402489626556,50.0,20.0,19.0,22.3402489626556,
08e075c7,HAMMING,ITQ96_CENTERED,202.0,21.0,21.0,48.20746887966805,49.0,17.0,22.0,27.20746887966805,
08e075c7,HAMMING,ITQ96_CENTERED,303.0,22.0,22.0,48.1058091286307,50.0,15.0,13.0,26.105809128630703,
08e075c7,HAMMING,ITQ96_CENTERED,404.0,24.5,24.5,48.093360995850624,50.0,18.0,12.0,23.593360995850624,
08e075c7,HAMMING,ITQ96_CENTERED,505.0,24.5,24.5,48.29045643153527,49.0,17.0,20.0,23.79045643153527,
08e075c7,COSINE,FLOAT96_UNCENTERED,,0.7307307458992689,0.7307307458992689,0.10566078839639942,0.0658770206112428,0.8094931271293806,0.8042553409442097,-0.6250699575028695,0.6250699575028695
08e075c7,COSINE,FLOAT96_CENTERED,,0.6931863186014835,0.6931863186014835,-0.001681178959165018,-0.04165130641020155,0.7845303033397054,0.7720940487691058,-0.6948674975606485,0.6948674975606485
08f4fc43,HAMMING,SIGN96_CENTERED,,26.0,26.0,48.03138075313807,48.0,22.0,17.0,22.031380753138073,
08f4fc43,HAMMING,ITQ96_CENTERED,101.0,14.5,14.5,48.08786610878661,49.0,9.0,14.0,33.58786610878661,
08f4fc43,HAMMING,ITQ96_CENTERED,202.0,16.5,16.5,48.27615062761506,49.0,12.0,13.0,31.77615062761506,
08f4fc43,HAMMING,ITQ96_CENTERED,303.0,15.5,15.5,48.32845188284519,49.0,7.0,10.0,32.82845188284519,
08f4fc43,HAMMING,ITQ96_CENTERED,404.0,17.0,17.0,48.16317991631799,49.0,16.0,17.0,31.163179916317993,
08f4fc43,HAMMING,ITQ96_CENTERED,505.0,17.5,17.5,47.98744769874477,49.0,16.0,14.0,30.487447698744766,
08f4fc43,COSINE,FLOAT96_UNCENTERED,,0.7808681590358376,0.7808681590358376,0.06871424660172695,0.0445664119469876,0.8125068877167783,0.8115790398164677,-0.7121539124341106,0.7121539124341106
08f4fc43,COSINE,FLOAT96_CENTERED,,0.7630124669478449,0.7630124669478449,-0.0030068532499270915,-0.02175707185465666,0.7979022334161108,0.7982560951388995,-0.766019320197772,0.766019320197772
0977f2af,HAMMING,SIGN96_CENTERED,,39.5,39.5,48.24066390041494,48.5,32.0,29.0,8.740663900414937,
0977f2af,HAMMING,ITQ96_CENTERED,101.0,41.0,41.0,48.12240663900415,49.0,33.0,27.0,7.122406639004147,
0977f2af,HAMMING,ITQ96_CENTERED,202.0,42.0,42.0,47.91701244813278,49.0,30.0,28.0,5.91701244813278,
0977f2af,HAMMING,ITQ96_CENTERED,303.0,39.5,39.5,48.16390041493776,49.5,31.0,30.0,8.663900414937757,
0977f2af,HAMMING,ITQ96_CENTERED,404.0,40.5,40.5,48.149377593360995,49.0,33.0,29.0,7.649377593360995,
0977f2af,HAMMING,ITQ96_CENTERED,505.0,36.0,36.0,47.7655601659751,49.0,30.0,27.0,11.765560165975103,
