question_id,N_archive,word_columns,char_columns,combined_columns,base_rep_fit_seconds,svd96_fit_seconds,itq96_fit_seconds_5seeds,query_transform_seconds,centered_doc_norm_min,centered_doc_norm_max,centered_query_norm
caf9ead2,466,38710,55929,94671,1.365759664000052,5.274463314000059,1.3024655929998517,0.050224310000089645,0.8531664501774352,1.017632948300692,0.9633135009676361
cc06de0d,462,39295,55913,95240,1.2872827759999836,5.488074281999843,1.5210558420001234,0.06018143699998291,0.8411838544554703,1.009984609775801,0.9804157027038639
cc539528,496,39671,58503,98206,1.439257753999982,4.194956223999952,1.277537563000351,0.19516767499999332,0.8494638755535417,1.020111840070997,0.9781741002140394
cc5ded98,493,37570,61083,98685,0.9476873870000873,5.271914194999908,1.5826338300005318,0.16650731100003213,0.8365810011103905,1.026889897990321,0.9753917354617523
cc6d1ec1,457,39157,60668,99857,1.7333977969999523,5.919428566000079,1.5005595640002412,0.025152099000024464,0.8424113116716864,0.9976684119485195,0.9688823303737657
ccb36322,471,39357,57844,97233,2.087698608000096,5.3551321630000075,1.0255020279998917,0.017158187000063663,0.8481822791107337,1.0066318947716457,0.894361619514521
ce6d2d27,521,38488,59334,97854,1.5495657269998446,6.79911813700005,1.6635103860000982,0.0797434720000183,0.8535340893210245,1.0150820048772562,0.950023687196347
ceb54acb,493,39462,61247,100741,2.0593907659999786,5.946011252999824,1.6316545990000577,0.1547916989998157,0.8236129259498972,1.0060399202004153,0.8722910332950867
cf22b7bf,550,38495,55975,94502,1.8102867059999426,4.571761800999866,1.5239975659999345,0.040927031999899555,0.8250115973779751,1.0120019282616897,0.928618849336417
d01c6aa8,429,40077,57068,97177,1.7147537630000897,4.778664314000025,1.3026113570001598,0.038422042999854966,0.8388759488123347,1.00879905202897,0.9904232028011631
d23cf73b,512,37724,54598,92354,1.102782305999881,4.622082013999943,1.2191862169997876,0.016572762000123475,0.8543695455561249,0.9959496267431701,0.8790652022146781
d24813b1,485,37397,55314,92743,1.3904089979998844,4.437045119000004,1.5622243129998878,0.049587795999968876,0.8610697355749302,1.0246511500473323,0.874849809107707
d3ab962e,530,38661,55859,94552,1.6907429049999791,4.236169963000066,1.202153827000302,0.05270073399992725,0.8301818117890364,1.0114267509509909,0.9513056229540882
d52b4f67,479,40165,60336,100533,1.3407233230000202,5.200008862999994,1.4971158029999287,0.06429118200003359,0.845261751318669,1.0149391029786246,0.9746896525713671
d596882b,474,39133,57235,96400,1.841450917999964,5.096165213999939,1.4961839550003333,0.059778131000030044,0.8569264176350134,1.0037174096255814,0.8883088458099471
d6062bb9,532,40311,56272,96615,1.4038803729999927,4.97449854499996,1.3750406809995184,0.037784939999937706,0.8630858451405933,0.9945993950021421,0.9597328034446438
d6233ab6,437,39860,63173,103065,1.8570072160000564,6.560531395999988,1.5005591479998657,0.08210134099999777,0.8461969981211064,0.9987738655657407,0.8806046099242596
d682f1a2,469,40092,62428,102552,1.793502989000217,5.424731479000002,1.1566755600003944,0.02877776500008622,0.8598219617966775,1.0104951003722706,0.9217898446850047
d7c942c3,520,40202,59272,99506,1.4904709669999647,6.24153605399988,1.5073633889996927,0.07369498600019142,0.7924593975158868,1.0181544516438674,0.9607567578616659
d851d5ba,533,38450,56173,94655,1.6020611059998373,5.887443722000171,1.5289446609999686,0.018016174999957002,0.8163474333381168,1.0044086344659602,0.9710279618793399
d905b33f,504,38920,56560,95512,2.4499007489998803,5.673114985999973,1.161134495999704,0.04976854100004857,0.8545126972366369,1.0178465237818555,0.9281701958128883
dad224aa,521,39434,58404,97870,0.9701245339999787,4.406227873999796,1.2888208589999977,0.02725728799987337,0.8334843175027882,0.9986289848027219,0.973176738312255
db467c8c,475,39710,58479,98221,1.8292921939998905,5.95473089699999,1.355373347000068,0.04093724800009113,0.850187954078977,1.0056985080856757,0.9518047620560566
dc439ea3,476,39552,60005,99589,1.5217477510000208,4.745938486000114,1.3032622789996822,0.027683033000130308,0.864644616667613,1.0168776978305236,0.9420547103081527
dccbc061,505,39613,59967,99612,1.5679539599999543,5.471833812,1.588540633000207,0.03317845399999442,0.8354677378351975,1.0258717034223754,0.9682706729597066
dcfa8644,470,38013,57723,95768,0.946671570000035,5.017192382000076,1.375882997999497,0.02044606100002966,0.8367474788404288,1.0101389088153934,0.9810894907241661
dd2973ad,516,39052,57233,96317,1.4128768909999962,5.632844715000147,1.9355865620002533,0.034077132999982496,0.8458354010140395,1.020781988510219,0.9279862085121299
dfde3500,480,39809,57339,97180,1.4766181979998692,6.410826588999953,1.2357273089996852,0.021647773000040615,0.8384511253919104,1.010659052738122,0.9720903258833931
e01b8e2f,523,40285,58364,98681,1.746356053999989,5.4374580590000505,1.2812551190002068,0.0382487230000379,0.8579011701427313,0.9923685816507816,0.9132637963267236
