question_id,method,itq_seed,N_archive,min_hamming_distance,candidates_at_min_distance,top3_boundary_distance,candidates_at_top3_boundary_distance,slots_remaining_at_boundary,top3_boundary_tie,boundary_tie_size_median,boundary_tie_size_p90,boundary_tie_size_max
75f70248,ITQ96_CENTERED,303.0,466,18.0,5.0,18.0,5.0,3.0,1.0,,,
75f70248,ITQ96_CENTERED,404.0,466,15.0,2.0,16.0,1.0,1.0,0.0,,,
75f70248,ITQ96_CENTERED,505.0,466,15.0,1.0,19.0,3.0,1.0,1.0,,,
76d63226,SIGN96_CENTERED,,489,27.0,1.0,30.0,2.0,1.0,1.0,,,
76d63226,ITQ96_CENTERED,101.0,489,17.0,1.0,23.0,3.0,2.0,1.0,,,
76d63226,ITQ96_CENTERED,202.0,489,19.0,2.0,20.0,1.0,1.0,0.0,,,
76d63226,ITQ96_CENTERED,303.0,489,21.0,1.0,22.0,2.0,2.0,0.0,,,
76d63226,ITQ96_CENTERED,404.0,489,22.0,1.0,24.0,1.0,1.0,0.0,,,
76d63226,ITQ96_CENTERED,505.0,489,18.0,1.0,22.0,3.0,1.0,1.0,,,
778164c6,SIGN96_CENTERED,,542,14.0,1.0,22.0,1.0,1.0,0.0,,,
778164c6,ITQ96_CENTERED,101.0,542,4.0,1.0,5.0,2.0,2.0,0.0,,,
778164c6,ITQ96_CENTERED,202.0,542,3.0,1.0,6.0,2.0,1.0,1.0,,,
778164c6,ITQ96_CENTERED,303.0,542,5.0,3.0,5.0,3.0,3.0,0.0,,,
778164c6,ITQ96_CENTERED,404.0,542,5.0,1.0,6.0,2.0,2.0,0.0,,,
778164c6,ITQ96_CENTERED,505.0,542,4.0,2.0,5.0,1.0,1.0,0.0,,,
77eafa52,SIGN96_CENTERED,,527,29.0,1.0,31.0,1.0,1.0,0.0,,,
77eafa52,ITQ96_CENTERED,101.0,527,17.0,3.0,17.0,3.0,3.0,0.0,,,
77eafa52,ITQ96_CENTERED,202.0,527,17.0,3.0,17.0,3.0,3.0,0.0,,,
77eafa52,ITQ96_CENTERED,303.0,527,14.0,1.0,16.0,2.0,2.0,0.0,,,
77eafa52,ITQ96_CENTERED,404.0,527,14.0,2.0,18.0,1.0,1.0,0.0,,,
77eafa52,ITQ96_CENTERED,505.0,527,12.0,1.0,14.0,4.0,2.0,1.0,,,
7a87bd0c,SIGN96_CENTERED,,506,17.0,1.0,21.0,1.0,1.0,0.0,,,
7a87bd0c,ITQ96_CENTERED,101.0,506,6.0,1.0,10.0,1.0,1.0,0.0,,,
7a87bd0c,ITQ96_CENTERED,202.0,506,4.0,1.0,11.0,1.0,1.0,0.0,,,
7a87bd0c,ITQ96_CENTERED,303.0,506,7.0,1.0,10.0,1.0,1.0,0.0,,,
7a87bd0c,ITQ96_CENTERED,404.0,506,4.0,1.0,6.0,2.0,2.0,0.0,,,
7a87bd0c,ITQ96_CENTERED,505.0,506,7.0,1.0,11.0,1.0,1.0,0.0,,,
7a8d0b71,SIGN96_CENTERED,,489,16.0,2.0,24.0,1.0,1.0,0.0,,,
7a8d0b71,ITQ96_CENTERED,101.0,489,7.0,1.0,12.0,1.0,1.0,0.0,,,
7a8d0b71,ITQ96_CENTERED,202.0,489,5.0,1.0,8.0,1.0,1.0,0.0,,,
