method,itq_seed,bit_index,positive_fraction,mean_occupancy,min_occupancy,max_occupancy,dead_constant_bit_count,mean_abs_deviation_from_0_5
SIGN96_CENTERED,,70,0.4967142474719999,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,71,0.49873923818899335,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,72,0.4985104012849408,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,73,0.4971071561185807,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,74,0.49941279586884624,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,75,0.4989248983186964,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,76,0.49804409212196576,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,77,0.49786706734713265,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,78,0.49951642012728514,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,79,0.4994905140626754,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,80,0.4984283654136767,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,81,0.4986097078659448,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,82,0.49797932696044145,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,83,0.4985104012849408,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,84,0.49837223560702226,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,85,0.49865720231772925,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,86,0.49883854476999734,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,87,0.49804409212196576,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,88,0.4978411612825229,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,89,0.498393823994197,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,90,0.49819521083218915,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,91,0.4984370007685466,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,92,0.4988255917376925,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,93,0.49715033289293026,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,94,0.4976339127656451,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,95,0.49826429367114844,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
ITQ96_CENTERED,101,0,0.4993868898042365,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,1,0.49676605960121933,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,2,0.5009067122613404,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,3,0.49974093935390274,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,4,0.49998272929026016,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,5,0.4991839589647937,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,6,0.5008160410352064,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,7,0.4996070913534192,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,8,0.4985665310915952,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,9,0.5013730214243154,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,10,0.49891194528639154,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,11,0.49962436206315897,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,12,0.5008592178095559,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,13,0.500189977807138,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,14,0.500379955614276,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,15,0.5000690828389592,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,16,0.4995077847724152,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,17,0.49908033470635477,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,18,0.5007858172931616,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,19,0.5004447207758003,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,20,0.49941279586884624,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,21,0.5012521264561367,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,22,0.5000820358712641,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,23,0.4974655233456819,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
ITQ96_CENTERED,101,24,0.5006519692926781,0.5000872080890247,0.49676605960121933,0.5036268490453615,0,0.0009995873019985064
