replicate,n_questions,A_full,A_block,A_I,B_full,B_block,B_I,den_full_min,den_full_max,den_block_min,den_block_max,den_full_mean,den_block_mean
38,1652,0.69701804415881274,-13.592058807582395,14.289076851741209,0.69477162276342541,0.3710224670833337,0.32374915568009172,0.10259262462046972,0.11475489065682776,-0.0040135333794534822,0.026642453591606136,0.10946132393635426,0.012201040585725848
39,1534,0.72459613065782302,-0.88360378455931132,1.6081999152171345,0.7263666744437407,-0.066984150662859954,0.7933508251066006,0.090466101694915257,0.11216890454178591,-0.011384912270741621,0.018826336093285267,0.10072577356613407,0.0011822554751924729
40,1564,0.75186741732090279,1.2449557551804054,-0.49308833785950257,0.7490606453478017,-1.1461732535946745,1.8952338989424762,0.083014352974391359,0.1045837810827656,-0.0097824080224975518,0.014355781780277799,0.094324014878195209,-0.0016180146182605631
41,1495,0.76648595621004856,0.94920793709788887,-0.18272198088784031,0.76368912946915035,1.2043186393789143,-0.44062950990976391,0.075879786879786915,0.09458097486486236,-0.016567237110715394,0.012800965019635152,0.085886433179150928,0.0024710440477098443
42,1476,0.7060315566402674,0.61628069989515089,0.089750856745116514,0.70605350252502352,0.19183512851877829,0.51421837400624526,0.08872634103325161,0.11008398933195682,-0.0095176797006065461,0.031673683701122723,0.099263977610014195,0.011993749193444309
43,1320,0.6860867955222798,0.38682909796557491,0.29925769755670489,0.68121524490589158,0.23059816909329744,0.45061707581259414,0.081410624098124107,0.094765376984126987,-0.013422438672438669,0.020179563492063513,0.090038947510822503,0.0057730880230880272
44,1610,0.77077449549112975,2.4657510791132626,-1.6949765836221329,0.76856280377516129,0.23452620173636265,0.53403660203879866,0.089473084886128401,0.10712067435669922,-0.016552795031055889,0.019255693581780559,0.099295496894409974,0.0026751626737651691
45,1487,0.69077535438438775,2.1169007182634818,-1.4261253638790941,0.69254187857089944,0.091170975676221247,0.60137090289467821,0.07509772525912406,0.10316067292193723,-0.015616613827777237,0.024482605864583007,0.088947597431709755,0.0052979232715278466
46,1637,0.68085518590437544,0.41816923317888816,0.26268595272548728,0.68190209954541992,1.7823579768994919,-1.100455877354072,0.094064250586852916,0.11267816924811427,-0.0081959859525528589,0.016173238625895869,0.10342547908949132,0.0012615535933283544
47,1382,0.79646707582825693,2.5029076925419851,-1.7064406167137283,0.79542517107009003,2.7833875642721702,-1.9879623932020802,0.06427612386006018,0.096046583260765594,-0.012394915142744378,0.01641967164655489,0.081358885810017517,0.003227569899853522
48,1522,0.65507597391661787,-0.25728657007024636,0.91236254398686423,0.65374134216337709,0.096009667469837356,0.55773167469353968,0.11178055190538769,0.12515229021963581,0.0020258431887867079,0.030160972404730646,0.11745439115199301,0.015948649959326711
49,1628,0.69095855724384803,1.4920317784572683,-0.80107322121342028,0.69026065351202759,0.38567756783206092,0.30458308567996667,0.093279367029367066,0.11602462852462858,-0.0033625833625833268,0.023925280800280835,0.10395978486603492,0.01155945799695802
50,1391,0.80412965130697067,-0.61502730296791275,1.4191569542748834,0.79435652002132484,-0.067709511492272806,0.86206603151359762,0.069941289240354698,0.091099628564581842,-0.023563383656841602,0.010318715552360413,0.083549035466091548,-0.0060913611310807522
51,1558,0.76693321310602136,-6.9933352595193483,7.7602684726253699,0.76777341273790212,1.70084281982253,-0.93306940708462793,0.079845956354300335,0.1076477510131138,-0.0053334625366076305,0.018442413667532548,0.095240130325152134,0.0030963470760299455
52,1497,0.70463215358648845,0.42108708706838377,0.28354506651810468,0.70726592633380936,0.15942829255105329,0.54783763378275607,0.091177911378312243,0.11837322552753418,-0.0052149875589168893,0.030028351839916201,0.10493437492952393,0.012719062820175289
53,1591,0.7669180180796491,1.307965391533966,-0.54104737345431686,0.7674214742878227,-0.71672535225906209,1.4841468265468847,0.078017324180114922,0.10446004045867248,-0.014422400352632869,0.010493328352425474,0.09147916522459329,-0.0044298851948250673
54,1579,0.6951830708893636,1.5848906349339225,-0.88970756404455886,0.69455213363573054,0.18842962998865667,0.5061225036470739,0.070655327362103809,0.10297762296812328,-0.020244126783075522,0.016028001447570772,0.092225919056666356,-0.0065332262734099479
55,1566,0.77185005489803993,-17.840087236593522,18.611937291491561,0.77283861992306424,1.2888370229313819,-0.51599840300831767,0.083052362707535077,0.11603171025753849,-0.0058156104657119123,0.012759424903254241,0.10205974513889708,0.0054766606310100805
56,1650,0.61990265832937153,0.17288790892924835,0.4470147494001232,0.62163012422270303,0.25907231628295913,0.3625578079397439,0.12137113997114002,0.14460139052866328,0.012464775575301845,0.042536311163583918,0.13369019161093468,0.023810457597567093
57,1421,0.9785066508601229,-0.16970601452543743,1.1482126653855604,0.95825458493172733,-0.042917753229451551,1.0011723381611788,0.052716759938786717,0.079935938250505489,-0.035243121879293571,0.0048914245501156806,0.068840672229482966,-0.013946022251264997
58,1433,0.79274147335957623,-0.50277125393489441,1.2955127272944706,0.79236249422535732,-1.7221980548084286,2.5145605490337859,0.070222144684810417,0.093739055985269201,-0.015945853949014738,0.010911573245745182,0.083085065939550257,-0.0018860580282557605
59,1407,0.70200499530192639,-1.4971216370490743,2.1991266323510006,0.70533956339253967,0.32755238832289718,0.37778717506964249,0.082151149016820607,0.11353599965540265,0.00061150647504587541,0.027771519734080846,0.098978399306829279,0.01450660323402372
60,1553,0.63726077401929637,-0.030015870904404107,0.66727664492370042,0.63517909307156639,0.33765580835818543,0.29752328471338096,0.095193430022792569,0.10788696225431577,-0.0048316622205869519,0.02507987612301843,0.10386147778493238,0.0078929951246435089
