distribution,n,data_seed,initialization_seed,iterations,converged,stop_reason,cap_hit,initial_objective_mean,final_objective_mean,initial_objective_sum,final_objective_sum,relative_training_objective_reduction,orthogonality_frobenius_error,monotonicity_violations,positive_half_step_increases_within_tolerance,largest_positive_half_step_increase,exact_zero_projection_entries_over_observed_steps,elapsed_seconds,data_sha256,initial_rotation_sha256,final_rotation_sha256,final_binary_codes_sha256
heterogeneous,100,5212100,7312011,12,True,relative_objective_stable_5,False,0.4101062584691973,0.17204307552904483,3937.020081304294,1651.6135250788304,0.5804914653796565,2.5248794139986816e-14,0,0,0.0,0,0.03357010008767247,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,29cc27e854074dcb7cc1d9a2eac087eead0871b2c61077be3062d9ef3f931820,be14aeb443da2607430a9844f1f4e72c897fd5a587a69f3b687bba02e4607484,99843660cbc9031e358b983c683d47077f65d6e12186c055df4f015d37be696c
heterogeneous,100,5212100,7312012,11,True,relative_objective_stable_5,False,0.404113994068524,0.16737131365329064,3879.4943430578305,1606.76461107159,0.5858314334323445,2.5484614860979303e-14,0,0,0.0,0,0.040276900050230324,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,dc1a7babe16644337529c22e7a9294b5534ca55919e4c85756bf9c2be6d038b5,2a9c14ff3154e6560d0efe31a85fb633b5a121e172210d3f81e0269c5391bb06,6aae464e1012905776c2dca8231b069ddec5081b4cbcd1f09c1948b513ec1a7e
heterogeneous,100,5212100,7312013,11,True,relative_objective_stable_5,False,0.41725772482973755,0.16867854298001314,4005.6741583654807,1619.3140126081262,0.5957449486433293,2.535730305954103e-14,0,0,0.0,0,0.03574630001094192,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,2ae805ae258cddf4752bcf6cd2f3caefb21bd53199a2b18404e951f38b5c142e,7f1b32b2f1c6107010cb3972453d1bb8f6e597472e6b292dc3e2d90bb960e63e,9a4e12efba10ba1e69fe68c3edc4edad46b9c185088a643b4f188feb3ab33843
heterogeneous,100,5212100,7312014,13,True,relative_objective_stable_5,False,0.408467024649377,0.16727907220841962,3921.2834366340194,1605.8790932008283,0.5904710487902668,2.6772693595775928e-14,0,0,0.0,0,0.04357999993953854,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,94d8799a77edb0763fd9fc46fc42dd4ad6e8560b98adad5147efe8f07530255f,c366a2ab494619f9916ff40391bb093260353d792d5a278c9d80334ebe8617f9,1b436cf3d236dc2585a82ad41c1da003ec63e371477e0650d0ada98683b36af0
heterogeneous,100,5212100,7312015,13,True,relative_objective_stable_5,False,0.40807645536748005,0.17240682695275478,3917.5339715278087,1655.1055387464457,0.5775134176817445,2.4963610820950623e-14,0,0,0.0,0,0.03765209997072816,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,26478f94f92f579abb988a4aee1bd8066ba64eff5b4179b9aa12eb8b2d38d860,99bd6f1b0d27c92636fa346b0cdb11c1d2b9016f8e9a44636035b49bc80e041e,1f60261b7dce5537b4654d7465cea1ce411f6622735cb30c61c437854e80ff29
heterogeneous,100,5212100,7312016,10,True,relative_objective_stable_5,False,0.39835316293696177,0.16938333764569552,3824.190364194833,1626.080041398677,0.5747910311622154,2.8446140143558576e-14,0,0,0.0,0,0.029700100072659552,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,3134165718aaeb6a31e150dedfddf9b597c56629b4d90c6bfa3a4716e07460b2,d02d516d5e24f458d3f7ce96d34c89ad5c2f0c5e885b83a84473b640dc5502e3,7e084e3fc7243e89ce228d409d45aab16e7dc85f7d7500f4d22c3f737d5a5477
heterogeneous,100,5212100,7312017,14,True,relative_objective_stable_5,False,0.40848092875657416,0.17205711913631608,3921.416916063112,1651.7483437086344,0.5787878771719842,2.380036990563008e-14,0,0,0.0,0,0.0363878000061959,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,b34362e585f7f7ea99dbb512620be21c1a9b8c581738bcbaf20dea35487f5877,8a256ac6e49593f9fe4270932483ecebaa9d3e2a98297b994b604db878bae8f3,bdf5b5f6191dbc28389d64901a1dc673e253522f3a6ce03aac75878927ddf55e
heterogeneous,100,5212100,7312018,12,True,relative_objective_stable_5,False,0.4012350246108981,0.16894173624621747,3851.8562362646217,1621.8406679636878,0.5789456904714375,2.693456431040561e-14,0,0,0.0,0,0.03032379993237555,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,bf9469e1ec5451c1579d8b06451f1b86556194bd114370b700fd5b48eeed3fc1,0543b1abdbefbf4ee05e1e4c5c32659fde93c06dc5b0388001599df46a56030b,a060be7a241f258fc83bf1e0c938c24652a8e831f6deb73d99dbb5bcd2af2fdd
heterogeneous,100,5212100,7312019,16,True,relative_objective_stable_5,False,0.40428550803964164,0.16660325980941063,3881.1408771805595,1599.391294170342,0.5879069209844777,2.3884028959835818e-14,0,0,0.0,0,0.0506736000534147,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,7b59124bfd816b54117141b0ba0a99a2a443ba79bc8819a0f7de95c8edd8fefb,568de84a72537e2d73d8edaf4c9c0ae699861fd011bb6e9b5875f092034b1a61,2743567fb54b5020eae4825711d9fa6e78c73760199ab23ebb7b92433fce771b
heterogeneous,100,5212100,7312020,14,True,relative_objective_stable_5,False,0.3975544638239358,0.16361079248824775,3816.5228527097834,1570.6636078871784,0.5884569099928261,2.488640587250155e-14,0,0,0.0,0,0.036079299985431135,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,707fcf116933a0c17d6c504e7dd5036df80900c37f7bf3c512d613ccb59ddcaa,402681d5544f124096f63279b3014db9fc66c9c410d4ce32e152dea1bc3c59c6,c5df20dde179a975e0bc7b482ed074af73d78df0d237b841b49d46b377712840
rotated_heterogeneous,100,5212100,7312001,13,True,relative_objective_stable_5,False,0.4009125589976229,0.17342598529821865,3848.7605663771797,1664.8894588628991,0.567421919303738,2.4664717178785166e-14,0,0,0.0,0,0.030191099969670177,5d468f54649c52ae9506e94f25fc31287de0f73f2df02851117658549e501509,29d7236dfa0c7782784c0713c0010d5960193f97d12cb4e6272a316c5a840880,f637f40a1a93a9cdbb7ac0e33a898558f95d489432cb52158ed271514774b40d,faf1c06aa0af64b2230a6d56a7db187c7248ae41d3dffceeb85bc38fc4ba493c
